model,effort,mode,plan,iq,cost,minutes,family_capacity_20x,plan_capacity,weekly_share,eligible_gate_015,eligible_gate_020,eligible_gate_025,eligible_gate_030,eligible_gate_040,eligible_gate_050,eligible_gate_060,eligible_gate_080,fast_ratio,quota_status
gpt-5.6-terra,max,Fast,Plus,101.34,8.8331425,22.286152171569803,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,max,Fast,Pro5,101.34,8.8331425,22.286152171569803,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,max,Fast,Pro20,101.34,8.8331425,22.286152171569803,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,ultra,Standard,Plus,99.11,9.962045,42.07,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,ultra,Standard,Pro5,99.11,9.962045,42.07,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,ultra,Standard,Pro20,99.11,9.962045,42.07,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,ultra,Fast,Plus,99.11,24.9051125,30.283540757685454,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,ultra,Fast,Pro5,99.11,24.9051125,30.283540757685454,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,ultra,Fast,Pro20,99.11,24.9051125,30.283540757685454,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-luna,low,Standard,Plus,7.59,0.028708,7.31,1145.1,57.254999999999995,0.0005014059907431666,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,low,Standard,Pro5,7.59,0.028708,7.31,1145.1,286.275,0.00010028119814863332,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,low,Standard,Pro20,7.59,0.028708,7.31,1145.1,1145.1,0.00002507029953715833,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,low,Fast,Plus,7.59,0.07177,5.393780870504395,1145.1,57.254999999999995,0.0012535149768579164,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,low,Fast,Pro5,7.59,0.07177,5.393780870504395,1145.1,286.275,0.0002507029953715833,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,low,Fast,Pro20,7.59,0.07177,5.393780870504395,1145.1,1145.1,0.00006267574884289582,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,medium,Standard,Plus,32.14,0.079007,10.74,1145.1,57.254999999999995,0.0013799144179547638,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,medium,Standard,Pro5,32.14,0.079007,10.74,1145.1,286.275,0.00027598288359095277,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,medium,Standard,Pro20,32.14,0.079007,10.74,1145.1,1145.1,0.00006899572089773819,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,medium,Fast,Plus,32.14,0.19751749999999998,7.924652058716445,1145.1,57.254999999999995,0.0034497860448869096,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,medium,Fast,Pro5,32.14,0.19751749999999998,7.924652058716445,1145.1,286.275,0.0006899572089773819,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,medium,Fast,Pro20,32.14,0.19751749999999998,7.924652058716445,1145.1,1145.1,0.00017248930224434547,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,high,Standard,Plus,76.34,0.206184,17.62,1145.1,57.254999999999995,0.0036011527377521617,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,high,Standard,Pro5,76.34,0.206184,17.62,1145.1,286.275,0.0007202305475504324,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,high,Standard,Pro20,76.34,0.206184,17.62,1145.1,1145.1,0.0001800576368876081,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,high,Fast,Plus,76.34,0.51546,13.001151701544112,1145.1,57.254999999999995,0.009002881844380405,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,high,Fast,Pro5,76.34,0.51546,13.001151701544112,1145.1,286.275,0.0018005763688760809,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,high,Fast,Pro20,76.34,0.51546,13.001151701544112,1145.1,1145.1,0.0004501440922190202,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,xhigh,Standard,Plus,87.05,0.336346,24.62,1145.1,57.254999999999995,0.0058745262422495855,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,xhigh,Standard,Pro5,87.05,0.336346,24.62,1145.1,286.275,0.001174905248449917,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,xhigh,Standard,Pro20,87.05,0.336346,24.62,1145.1,1145.1,0.00029372631211247927,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,xhigh,Fast,Plus,87.05,0.840865,18.16619494279319,1145.1,57.254999999999995,0.014686315605623964,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,xhigh,Fast,Pro5,87.05,0.840865,18.16619494279319,1145.1,286.275,0.0029372631211247928,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,xhigh,Fast,Pro20,87.05,0.840865,18.16619494279319,1145.1,1145.1,0.0007343157802811982,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,max,Standard,Plus,102.68,0.541141,37.44,1145.1,57.254999999999995,0.009451419090035806,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,max,Standard,Pro5,102.68,0.541141,37.44,1145.1,286.275,0.0018902838180071611,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,max,Standard,Pro20,102.68,0.541141,37.44,1145.1,1145.1,0.0004725709545017903,true,true,true,true,true,true,true,true,not_applicable,available
gpt-5.6-luna,max,Fast,Plus,102.68,1.3528525,27.625602707480788,1145.1,57.254999999999995,0.023628547725089512,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,max,Fast,Pro5,102.68,1.3528525,27.625602707480788,1145.1,286.275,0.004725709545017903,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.6-luna,max,Fast,Pro20,102.68,1.3528525,27.625602707480788,1145.1,1145.1,0.0011814273862544758,true,true,true,true,true,true,true,true,1.355264549209692,available
gpt-5.5,high,Standard,Plus,90.18,3.759214,16.53,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.5,high,Standard,Pro5,90.18,3.759214,16.53,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.5,high,Standard,Pro20,90.18,3.759214,16.53,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.5,high,Fast,Plus,90.18,9.398035,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
gpt-5.5,high,Fast,Pro5,90.18,9.398035,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
gpt-5.5,high,Fast,Pro20,90.18,9.398035,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
gpt-5.5,xhigh,Standard,Plus,96.88,5.916449,22.69,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.5,xhigh,Standard,Pro5,96.88,5.916449,22.69,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.5,xhigh,Standard,Pro20,96.88,5.916449,22.69,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.5,xhigh,Fast,Plus,96.88,14.7911225,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
gpt-5.5,xhigh,Fast,Pro5,96.88,14.7911225,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
